Order_ID;Customer_Name;Sales;Profit
US-2012-108966;"Sean O'Donnell";957.5775;-383.031
US-2012-150630;"Tracy Blumstein";3083.43;-1665.0522
CA-2012-117415;"Steve Nguyen";532.3992;-46.9764
US-2012-134026;"Joel Eaton";831.936;-114.3912
US-2012-156867;"Lena Cacioppo";238.896;-26.8758
US-2011-152030;"Alan Dominguez";600.558;-8.5794
US-2011-134614;"Philip Fox";617.7;-407.682
CA-2011-139892;"Becky Martin";8159.952;-1359.992
CA-2011-139892;"Becky Martin";275.928;-58.6347
CA-2011-139892;"Becky Martin";1740.06;-24.858
US-2012-101511;"Joel Eaton";396.802;-11.3372
CA-2012-146262;"Victoria Wilson";452.45;-244.323
CA-2012-146262;"Victoria Wilson";1188;-950.4
CA-2012-169397;"Joni Blumstein";479.988;-383.9904
US-2014-100930;"Christopher Schild";620.6145;-248.2458
US-2014-100930;"Christopher Schild";617.976;-7.7247
CA-2013-157749;"Ken Lonsdale";419.68;-356.728
US-2011-106992;"Sean Braxton";3059.982;-509.997
US-2011-106992;"Sean Braxton";2519.958;-251.9958
CA-2013-112697;"Alan Haines";254.058;-169.372
CA-2013-112697;"Alan Haines";961.48;-204.3145
US-2013-141544;"Patrick O'Brill";290.898;-67.8762
US-2013-141544;"Patrick O'Brill";786.744;-258.5016
CA-2011-129924;"Alyssa Crouse";698.352;-17.4588
CA-2011-122336;"Jonathan Doherty";509.97;-407.976
CA-2013-138520;"Jeremy Lonsdale";388.704;-4.8588
US-2011-119137;"Arthur Gainer";479.04;-29.94
US-2014-134481;"Allen Rosenblatt";1488.424;-297.6848
US-2012-168935;"Denny Ordway";375.4575;-157.0095
CA-2012-122756;"Dean Katz";482.34;-337.638
CA-2013-108987;"Anna Gayman";2396.2656;-317.1528
CA-2014-117457;"Keith Herrera";1004.024;-112.9527
US-2011-150574;"Mike Kennedy";247.8;-18.585
CA-2014-147277;"Ed Braxton";284.364;-75.8304
US-2013-157945;"Natalie Fritzler";747.558;-96.1146
CA-2013-109869;"Tanja Norvell";1272.63;-814.4832
US-2012-101399;"Joni Sundaresam";254.744;-312.0614
CA-2014-140963;"Michelle Tran";514.165;-30.245
US-2012-138303;"Mike Gockenbach";666.248;-149.9058
US-2012-120131;"Liz MacKendrick";646.776;-145.5246
CA-2013-113243;"Olvera Toch";1335.68;-217.048
US-2013-100720;"Chloris Kastensmidt";494.376;-115.3544
CA-2013-121223;"Giulietta Dortch";728.946;-157.9383
US-2013-135720;"Fred McMath";243.384;-51.7191
US-2013-156097;"Eugene Hildebrand";701.372;-50.098
CA-2012-146563;"Cassandra Brandow";724.08;-135.765
CA-2012-146563;"Cassandra Brandow";918.785;-118.1295
US-2014-168116;"Grant Thornton";7999.98;-3839.9904
